#t	x1	x2	abserr	h	yscale
0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e-03	1.0000000000e+00
1.0000000000e-03	1.0002484697e+00	9.9775096906e-01	2.8746684356e-18	2.9021521037e-02	1.0022500000e+00
3.0021521037e-02	1.0061499029e+00	9.3333293670e-01	5.8975699604e-11	2.9399367489e-02	1.0654906354e+00
5.9420888526e-02	1.0096387279e+00	8.6978514938e-01	6.2529411455e-11	2.9463626259e-02	1.0705645144e+00
8.8884514785e-02	1.0107569722e+00	8.0786252089e-01	6.2704177029e-11	2.9521936714e-02	1.0724502751e+00
1.1840645150e-01	1.0096237716e+00	7.4762134751e-01	6.2702554580e-11	2.9577512678e-02	1.0719060176e+00
1.4798396418e-01	1.0063583457e+00	6.8910481487e-01	6.2562623419e-11	2.9630701251e-02	1.0690642514e+00
1.7761466543e-01	1.0010791188e+00	6.3234952338e-01	6.2292302093e-11	2.9681786874e-02	1.0640508839e+00
2.0729645230e-01	9.9390335432e-01	5.7738586413e-01	6.1899160239e-11	2.9731021421e-02	1.0569906539e+00
2.3702747372e-01	9.8494683501e-01	5.2423833209e-01	6.1390650539e-11	2.9778630065e-02	1.0480068282e+00
2.6680610379e-01	9.7432358336e-01	4.7292582768e-01	6.0774099093e-11	2.9824815753e-02	1.0372208937e+00
2.9663091954e-01	9.6214561567e-01	4.2346194905e-01	6.0056698310e-11	2.9869762364e-02	1.0247522857e+00
3.2650068190e-01	9.4852272703e-01	3.7585527692e-01	5.9245487084e-11	2.9913638083e-02	1.0107181496e+00
3.5641431999e-01	9.3356230336e-01	3.3010965122e-01	5.8347344261e-11	2.9956597957e-02	9.9523313272e-01
3.8637091794e-01	9.1736915802e-01	2.8622444063e-01	5.7368977868e-11	2.9998786263e-02	9.7840920370e-01
4.1636970421e-01	9.0004539049e-01	2.4419480501e-01	5.6316918611e-11	3.0040338460e-02	9.6035549546e-01
4.4641004267e-01	8.8169026507e-01	2.0401195125e-01	5.5197514174e-11	3.0081382787e-02	9.4117817028e-01
4.7649142545e-01	8.6240010813e-01	1.6566338256e-01	5.4016919326e-11	3.0122042136e-02	9.2098030463e-01
