#t	x1	x2	abserr	h	yscale
0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e-03	1.0000000000e+00
1.0000000000e-03	1.0006641124e+00	9.9733411227e-01	8.3250450671e-18	2.3463700486e-02	1.0026666667e+00
2.4463700486e-02	1.0147985573e+00	9.3524564017e-01	6.0738210827e-11	2.3619429193e-02	1.0631973997e+00
4.8083129679e-02	1.0262905322e+00	8.7370116143e-01	6.0498236963e-11	2.3855764622e-02	1.0768367965e+00
7.1938894301e-02	1.0352155255e+00	8.1259828172e-01	6.1158750829e-11	2.4091563091e-02	1.0879382504e+00
9.6030457393e-02	1.0416017738e+00	7.5204982422e-01	6.1652439885e-11	2.4328088255e-02	1.0963588885e+00
1.2035854565e-01	1.0454840017e+00	6.9216411406e-01	6.1984717848e-11	2.4566327479e-02	1.1021313414e+00
1.4492487313e-01	1.0469027024e+00	6.3304560862e-01	6.2157307845e-11	2.4807321646e-02	1.1052941026e+00
1.6973219477e-01	1.0459035968e+00	5.7479472785e-01	6.2172220215e-11	2.5052185878e-02	1.1058916219e+00
1.9478438065e-01	1.0425370969e+00	5.1750770302e-01	6.2031678959e-11	2.5302135474e-02	1.1039737467e+00
2.2008651613e-01	1.0368577670e+00	4.6127644012e-01	6.1738059799e-11	2.5558517279e-02	1.0995951717e+00
2.4564503340e-01	1.0289237754e+00	4.0618839701e-01	6.1293823492e-11	2.5822848240e-02	1.0928148875e+00
2.7146788164e-01	1.0187963272e+00	3.5232647391e-01	6.0701426362e-11	2.6096864870e-02	1.0836956209e+00
2.9756474651e-01	1.0065390663e+00	2.9976891425e-01	5.9963230539e-11	2.6382586274e-02	1.0723032604e+00
3.2394733279e-01	9.9221743233e-01	2.4858921517e-01	6.2002354754e-11	2.6426115891e-02	1.0587062518e+00
3.5037344868e-01	9.7606303771e-01	1.9932394335e-01	6.3378528419e-11	2.6272510862e-02	1.0424874345e+00
3.7664595954e-01	9.5834089152e-01	1.5235146680e-01	6.2198888757e-11	2.6124673845e-02	1.0240391561e+00
4.0277063339e-01	9.3920434833e-01	1.0764380348e-01	6.0900795791e-11	2.5984819888e-02	1.0040482626e+00
4.2875545328e-01	9.1879643624e-01	6.5164999719e-02	5.9534536414e-11	2.5851785467e-02	9.8267654622e-01
4.5460723874e-01	8.9725257313e-01	2.4877703897e-02	5.8107157434e-11	2.5724537842e-02	9.6006861509e-01
4.8033177658e-01	8.7470112301e-01	-1.3256933367e-02	5.6624989269e-11	2.5602193682e-02	9.3636155351e-01
5.0593397027e-01	8.5126382158e-01	-4.9279371076e-02	5.5094276447e-11	2.5483988503e-02	9.1168549571e-01
5.3141795877e-01	8.2705613163e-01	-8.3231720127e-02	5.3521135412e-11	2.5369252160e-02	8.8616398239e-01
5.5678721093e-01	8.0218754580e-01	-1.1515773332e-01	5.1911515526e-11	2.5257389617e-02	8.5991426439e-01
5.8204460055e-01	7.7676184916e-01	-1.4510275728e-01	5.0271172680e-11	2.5147865562e-02	8.3304756771e-01
6.0719246611e-01	7.5087735096e-01	-1.7311365676e-01	4.8605651819e-11	2.5040191809e-02	8.0566932879e-01
6.3223265792e-01	7.2462709274e-01	-1.9923871903e-01	4.6920272298e-11	2.4933917076e-02	7.7787940661e-01
6.5716657499e-01	6.9809903800e-01	-2.2352754459e-01	4.5220125917e-11	2.4836575303e-02	7.5097455408e-01
6.8200315030e-01	6.7136764273e-01	-2.4603787457e-01	4.3580032492e-11	2.4746124142e-02	7.2469019182e-01
7.0674927444e-01	6.4450416352e-01	-2.6682511095e-01	4.1983278149e-11	2.4655938957e-02	6.9812886274e-01
7.3140521340e-01	6.1758210956e-01	-2.8593942342e-01	4.0377082268e-11	2.4565642419e-02	6.7135972491e-01
7.5597085581e-01	5.9067077899e-01	-3.0343192337e-01	3.8765385389e-11	2.4474908799e-02	6.4446055354e-01
7.8044576461e-01	5.6383532990e-01	-3.1935457596e-01	3.7152337239e-11	2.4383409748e-02	6.1750484018e-01
8.0482917436e-01	5.3713690232e-01	-3.3376006850e-01	3.5541863470e-11	2.4290809030e-02	5.9056181358e-01
8.2911998339e-01	5.1063273953e-01	-3.4670168252e-01	3.3937666598e-11	2.4196757421e-02	5.6369656238e-01
8.5331674081e-01	4.8437630905e-01	-3.5823317069e-01	3.2343229036e-11	2.4100887458e-02	5.3697015690e-01
8.7741762827e-01	4.5841742358e-01	-3.6840863951e-01	3.0761819209e-11	2.4002807490e-02	5.1043977018e-01
9.0142043576e-01	4.3280236252e-01	-3.7728243848e-01	2.9196495795e-11	2.3902095159e-02	4.8415879817e-01
9.2532253092e-01	4.0757399442e-01	-3.8490905637e-01	2.7650114499e-11	2.3798289694e-02	4.5817698035e-01
9.4912082061e-01	3.8277190104e-01	-3.9134302534e-01	2.6125332161e-11	2.3690883212e-02	4.3254052046e-01
9.7281170382e-01	3.5843250300e-01	-3.9663883362e-01	2.4624614912e-11	2.3677726389e-02	4.1586333292e-01
9.9648943021e-01	3.3449051234e-01	-4.0086627021e-01	2.3640295466e-11	2.3914569949e-02	4.2077820998e-01
1.0204040002e+00	3.1073094861e-01	-4.0409609956e-01	2.3885110006e-11	2.4150456120e-02	4.2484304107e-01
1.0445544563e+00	2.8719809111e-01	-4.0633983119e-01	2.4061719985e-11	2.4387314621e-02	4.2786556891e-01
1.0689417709e+00	2.6393377724e-01	-4.0761157705e-01	2.4175606805e-11	2.4626141101e-02	4.2985971690e-01
1.0935679120e+00	2.4097832343e-01	-4.0792764353e-01	2.4227455684e-11	2.4867992792e-02	4.3084108118e-01
1.1184359048e+00	2.1837045759e-01	-4.0730632179e-01	2.4218072824e-11	2.5114007226e-02	4.3082752690e-01
