#t	x1	x2	abserr	h	yscale
0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e-03	1.0000000000e+00
1.0000000000e-03	9.9999900067e-01	9.9800100000e-01	1.8162554773e-18	3.1811244991e-02	1.0020000000e+00
3.2811244991e-02	9.9894677828e-01	9.3545389717e-01	6.0090720315e-11	3.2093266225e-02	1.0635578682e+00
6.4904511216e-02	9.9596672521e-01	8.7440069144e-01	6.0861006367e-11	3.2280033180e-02	1.0610280141e+00
9.7184544396e-02	9.9115223398e-01	8.1506144799e-01	6.0633284462e-11	3.2463488947e-02	1.0563422475e+00
1.2964803334e-01	9.8459715242e-01	7.5746784685e-01	6.0291519221e-11	3.2644257646e-02	1.0497882319e+00
1.6229229099e-01	9.7639550559e-01	7.0164588677e-01	5.9842925488e-11	3.2822807566e-02	1.0414655711e+00
1.9511509855e-01	9.6664113354e-01	6.4761639167e-01	5.9293423820e-11	3.2999590313e-02	1.0314735353e+00
2.2811468887e-01	9.5542735686e-01	5.9539525337e-01	5.8648907817e-11	3.3175045294e-02	1.0199109705e+00
2.6128973416e-01	9.4284667536e-01	5.4499367079e-01	5.7915221557e-11	3.3349604239e-02	1.0068759672e+00
2.9463933840e-01	9.2899049676e-01	4.9641838519e-01	5.7098141475e-11	3.3523695608e-02	9.9246556207e-01
3.2816303401e-01	9.1394889296e-01	4.4967191178e-01	5.6203362320e-11	3.3697748720e-02	9.7677547024e-01
3.6186078273e-01	8.9781038153e-01	4.0475276795e-01	5.5236480351e-11	3.3872198177e-02	9.5989984418e-01
3.9573298090e-01	8.8066173040e-01	3.6165569782e-01	5.4202977267e-11	3.4047488831e-02	9.4193105867e-01
4.2978046974e-01	8.6258778349e-01	3.2037189255e-01	5.3108215207e-11	3.4224080197e-02	9.2295951916e-01
4.6400454993e-01	8.4367130613e-01	2.8088920761e-01	5.1957416327e-11	3.4402452487e-02	9.0307349031e-01
4.9840700242e-01	8.2399284787e-01	2.4319237528e-01	5.0755663214e-11	3.4583111938e-02	8.8235894577e-01
5.3299011436e-01	8.0363062191e-01	2.0726321405e-01	4.9507880696e-11	3.4766598096e-02	8.6089943390e-01
5.6775671245e-01	7.8266039907e-01	1.7308083333e-01	4.8218833323e-11	3.4953491354e-02	8.3877596162e-01
6.0271020381e-01	7.6115541519e-01	1.4062183444e-01	4.6893113944e-11	3.5144422284e-02	8.1606689197e-01
6.3785462609e-01	7.3918629036e-01	1.0986050733e-01	4.5535141510e-11	3.5340081859e-02	7.9284785565e-01
6.7319470795e-01	7.1682095898e-01	8.0769023698e-02	4.4149147053e-11	3.5541234771e-02	7.6919167369e-01
7.0873594272e-01	6.9412460856e-01	5.3317625825e-02	4.2739172107e-11	3.5748734601e-02	7.4516829181e-01
7.4448467732e-01	6.7115962619e-01	2.7474811906e-02	4.1309058722e-11	3.5963542804e-02	7.2084472262e-01
7.8044822013e-01	6.4798555090e-01	3.2075179387e-03	3.9862441873e-11	3.6186752072e-02	6.9628499571e-01
8.1663497220e-01	6.2465902983e-01	-1.9518703450e-02	3.8402741184e-11	3.6419615347e-02	6.7155011304e-01
