#t	x1	x2	abserr	h	yscale
0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e-03	1.0000000000e+00
1.0000000000e-03	1.0009965015e+00	9.9700050217e-01	1.7830623169e-17	2.0149737451e-02	1.0030000000e+00
2.1149737451e-02	1.0195984773e+00	9.3679468260e-01	5.9926529463e-11	2.0331338622e-02	1.0614254332e+00
4.1481076072e-02	1.0355677775e+00	8.7656793261e-01	6.1547178355e-11	2.0476701451e-02	1.0801043710e+00
6.1957777523e-02	1.0488887009e+00	8.1654232905e-01	6.2516382263e-11	2.0618642435e-02	1.0959270218e+00
8.2576419959e-02	1.0595854492e+00	7.5684008865e-01	6.3318025478e-11	2.0757817602e-02	1.1089780174e+00
1.0333423756e-01	1.0676895965e+00	6.9757966372e-01	6.3954410437e-11	2.0894801523e-02	1.1192851607e+00
1.2422903908e-01	1.0732394836e+00	6.3887567594e-01	6.4427579427e-11	2.1030142563e-02	1.1268837096e+00
1.4525918165e-01	1.0762796841e+00	5.8083873240e-01	6.4739971948e-11	2.1164371792e-02	1.1318158889e+00
1.6642355344e-01	1.0768604974e+00	5.2357525977e-01	6.4894390763e-11	2.1298011305e-02	1.1341303377e+00
1.8772156475e-01	1.0750374642e+00	4.6718735726e-01	6.4893967207e-11	2.1431582381e-02	1.1338815833e+00
2.0915314713e-01	1.0708708994e+00	4.1177266817e-01	6.4742123647e-11	2.1565614013e-02	1.1311295365e+00
2.3071876114e-01	1.0644254402e+00	3.5742426972e-01	6.4442544113e-11	2.1700651614e-02	1.1259390068e+00
2.5241941275e-01	1.0557696052e+00	3.0423058142e-01	6.3999135223e-11	2.1837266878e-02	1.1183792310e+00
2.7425667963e-01	1.0449753624e+00	2.5227529136e-01	6.3415996866e-11	2.1976068525e-02	1.1085234148e+00
2.9623274816e-01	1.0321177023e+00	2.0163730092e-01	6.2697380818e-11	2.2117715153e-02	1.0964482818e+00
3.1835046331e-01	1.0172742131e+00	1.5239068710e-01	6.1847659879e-11	2.2262929995e-02	1.0822336294e+00
3.4061339330e-01	1.0005246549e+00	1.0460468353e-01	6.0871280288e-11	2.2412519382e-02	1.0659618855e+00
3.6302591269e-01	9.8195052770e-01	5.8343679262e-02	5.9772721965e-11	2.2567395196e-02	1.0477176659e+00
3.8559330788e-01	9.6163462796e-01	1.3667236439e-02	5.8556445730e-11	2.2728603358e-02	1.0275873238e+00
4.0832191124e-01	9.3966058750e-01	-2.9369872852e-02	5.7226833158e-11	2.2897360474e-02	1.0056584892e+00
4.3121927171e-01	9.1611238410e-01	-7.0717609816e-02	5.5788116520e-11	2.3075101558e-02	9.8201958933e-01
4.5429437327e-01	8.9107381188e-01	-1.1033059074e-01	5.4797487135e-11	2.3216382164e-02	9.5675934067e-01
4.7751075544e-01	8.6468264374e-01	-1.4809341493e-01	5.7665143776e-11	2.2990078071e-02	9.2988735503e-01
5.0050083351e-01	8.3748492701e-01	-1.8341554706e-01	5.5844294994e-11	2.2768564044e-02	9.0103620755e-01
5.2326939755e-01	8.0962203896e-01	-2.1636603654e-01	5.3907577535e-11	2.2557773510e-02	8.7144547677e-01
5.4582717106e-01	7.8121727253e-01	-2.4702438322e-01	5.1959082979e-11	2.2355958954e-02	8.4126784408e-01
5.6818313001e-01	7.5238553488e-01	-2.7546788713e-01	5.0003660084e-11	2.2161512758e-02	8.1062452812e-01
5.9034464277e-01	7.2323415654e-01	-3.0177205361e-01	4.8044639402e-11	2.1982296146e-02	7.8126910670e-01
6.1232693892e-01	6.9385097840e-01	-3.2602086997e-01	4.6182592445e-11	2.1812710491e-02	7.5239978925e-01
6.3413964941e-01	6.6432266190e-01	-3.4829000985e-01	4.4366967797e-11	2.1646760142e-02	7.2320854662e-01
6.5578640955e-01	6.3473641010e-01	-3.6864849551e-01	4.2547674979e-11	2.1483489693e-02	6.9378179582e-01
6.7726989924e-01	6.0517384082e-01	-3.8716492783e-01	4.0728159586e-11	2.1322090670e-02	6.6421247553e-01
6.9859198991e-01	5.7571116519e-01	-4.0390764228e-01	3.8912517202e-11	2.1161807823e-02	6.3458774372e-01
7.1975379774e-01	5.4641944096e-01	-4.1894474327e-01	3.7104688218e-11	2.1001921276e-02	6.0498908604e-01
7.4075571901e-01	5.1736480896e-01	-4.3234411111e-01	3.5308430506e-11	2.0841731658e-02	5.7549258807e-01
7.6159745067e-01	4.8860871570e-01	-4.4417339080e-01	3.3527309688e-11	2.0680546315e-02	5.4616918737e-01
7.8227799699e-01	4.6020812554e-01	-4.5449996852e-01	3.1764689298e-11	2.0517666518e-02	5.1708490763e-01
8.0279566351e-01	4.3221572482e-01	-4.6339094119e-01	3.0023731481e-11	2.0352374233e-02	4.8830107996e-01
8.2314803774e-01	4.0468012091e-01	-4.7091308292e-01	2.8307394376e-11	2.0450442628e-02	4.9104976907e-01
8.4359848037e-01	3.7729107911e-01	-4.7720684366e-01	2.8428927273e-11	2.0592894790e-02	4.9844973249e-01
8.6419137516e-01	3.5003948745e-01	-4.8230184259e-01	2.8807880834e-11	2.0732532120e-02	5.0463049980e-01
8.8492390728e-01	3.2297958230e-01	-4.8621190377e-01	2.9111755679e-11	2.0869875326e-02	5.0955772439e-01
9.0579378260e-01	2.9616395012e-01	-4.8895396228e-01	2.9341029639e-11	2.1005476899e-02	5.1324681101e-01
9.2679925950e-01	2.6964336166e-01	-4.9054783855e-01	2.9496783555e-11	2.1139870376e-02	5.1571644961e-01
9.4793912988e-01	2.4346669495e-01	-4.9101600516e-01	2.9580265594e-11	2.1273578908e-02	5.1698829971e-01
9.6921270879e-01	2.1768086656e-01	-4.9038336406e-01	2.9592877274e-11	2.1407123323e-02	5.1708674857e-01
9.9061983211e-01	1.9233077151e-01	-4.8867703242e-01	2.9536156326e-11	2.1541030511e-02	5.1603867952e-01
1.0121608626e+00	1.6745923158e-01	-4.8592613535e-01	2.9411761153e-11	2.1675842227e-02	5.1387324917e-01
1.0338367048e+00	1.4310695191e-01	-4.8216160413e-01	2.9221455977e-11	2.1812124558e-02	5.1062167172e-01
1.0556488294e+00	1.1931248595e-01	-4.7741597853e-01	2.8967094788e-11	2.1950478596e-02	5.0631700872e-01
1.0775993080e+00	9.6112208681e-02	-4.7172321190e-01	2.8650605244e-11	2.2091552719e-02	5.0099396314e-01
1.0996908607e+00	7.3540298039e-02	-4.6511847744e-01	2.8273971797e-11	2.2236057110e-02	4.9468867623e-01
1.1219269178e+00	5.1628724616e-02	-4.5763797423e-01	2.7839217266e-11	2.2384781341e-02	4.8743852576e-01
1.1443116992e+00	3.0407249657e-02	-4.4931873096e-01	2.7348382868e-11	2.2538616067e-02	4.7928192391e-01
1.1668503152e+00	9.9034315047e-03	-4.4019840500e-01	2.6803506098e-11	2.2698580214e-02	4.7025811302e-01
1.1895488955e+00	-9.8573592060e-03	-4.3031507382e-01	2.6206593471e-11	2.2865855970e-02	4.6040695645e-01
1.2124147514e+00	-2.8851915372e-02	-4.1970701464e-01	2.5559589878e-11	2.3041834177e-02	4.4976872187e-01
