#t	x1	x2	abserr	h	yscale
0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e-03	1.0000000000e+00
1.0000000000e-03	1.0004266235e+00	9.9757233736e-01	3.9633974851e-18	2.7216963498e-02	1.0024285714e+00
2.8216963498e-02	1.0105654913e+00	9.3220987323e-01	6.1351093539e-11	2.7359483439e-02	1.0664754776e+00
5.5576446937e-02	1.0179838152e+00	8.6793594776e-01	5.9362629921e-11	2.7731628073e-02	1.0755682002e+00
8.3308075010e-02	1.0227999009e+00	8.0431917641e-01	5.9716664811e-11	2.8110909226e-02	1.0823821615e+00
1.1141898424e-01	1.0250430793e+00	7.4146860545e-01	6.0061312956e-11	2.8484140050e-02	1.0864840945e+00
1.3990312429e-01	1.0247490153e+00	6.7952176956e-01	6.4819299545e-11	2.8432854486e-02	1.0878738472e+00
1.6833597877e-01	1.0220212240e+00	6.1948265443e-01	6.4720674315e-11	2.8378916073e-02	1.0856933869e+00
1.9671489484e-01	1.0170140119e+00	5.6139102119e-01	6.4406350373e-11	2.8328303723e-02	1.0810355482e+00
2.2504319857e-01	1.0098768961e+00	5.0526704255e-01	6.3959352643e-11	2.8280636136e-02	1.0740748127e+00
2.5332383470e-01	1.0007545520e+00	4.5112565847e-01	6.3389273356e-11	2.8235513262e-02	1.0649661138e+00
2.8155934797e-01	9.8978697242e-01	3.9897690670e-01	6.2704455661e-11	2.8192593794e-02	1.0538591999e+00
3.0975194176e-01	9.7710958259e-01	3.4882608473e-01	6.1913032842e-11	2.8151584461e-02	1.0408989692e+00
3.3790352622e-01	9.6285332633e-01	3.0067393107e-01	6.1022925960e-11	2.8112231026e-02	1.0262255652e+00
3.6601575725e-01	9.4714473281e-01	2.5451682180e-01	6.0041837305e-11	2.8074310916e-02	1.0099744487e+00
3.9409006816e-01	9.3010596968e-01	2.1034697763e-01	5.8977238330e-11	2.8037627753e-02	9.9227645393e-01
4.2212769592e-01	9.1185488731e-01	1.6815267741e-01	5.7836373434e-11	2.8002006110e-02	9.7325783558e-01
4.5012970203e-01	8.9250505801e-01	1.2791847635e-01	5.6626244345e-11	2.7967288188e-02	9.5304030837e-01
4.7809699021e-01	8.7216581235e-01	8.9625425289e-02	5.5353614391e-11	2.7933330477e-02	9.3174108542e-01
5.0603032069e-01	8.5094227495e-01	5.3251290103e-02	5.4025005443e-11	2.7900001010e-02	9.0947291450e-01
5.3393032170e-01	8.2893540103e-01	1.8770769879e-02	5.2646696487e-11	2.7867177032e-02	8.8634411505e-01
5.6179749873e-01	8.0624201493e-01	-1.3844287456e-02	5.1224718933e-11	2.7834743419e-02	8.6245861735e-01
5.8963224215e-01	7.8295485095e-01	-4.4624673411e-02	4.9764865969e-11	2.7802590380e-02	8.3791600505e-01
6.1743483253e-01	7.5916259786e-01	-7.3603610727e-02	4.8272683170e-11	2.7770612409e-02	8.1281155945e-01
6.4520544494e-01	7.3494994645e-01	-1.0081655056e-01	4.6753477641e-11	2.7738706529e-02	7.8723630945e-01
6.7294415147e-01	7.1039764122e-01	-1.2630097458e-01	4.5212315631e-11	2.7706771080e-02	7.6127708413e-01
7.0065092255e-01	6.8558253577e-01	-1.5009620295e-01	4.3654026556e-11	2.7675178970e-02	7.3507959774e-01
