#t	x1	x2	abserr	h	yscale
0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e-03	1.0000000000e+00
1.0000000000e-03	1.0014948766e+00	9.9649987931e-01	4.0537943922e-17	1.7099115320e-02	1.0035000000e+00
1.8099115320e-02	1.0254795900e+00	9.3663749272e-01	5.9132796263e-11	1.7299033965e-02	1.0613458339e+00
3.5398149285e-02	1.0467501219e+00	8.7613782333e-01	6.2931931502e-11	1.7364355769e-02	1.0860320295e+00
5.2762505054e-02	1.0651291567e+00	8.1560027828e-01	6.4254775087e-11	1.7425342549e-02	1.1074040445e+00
7.0187847603e-02	1.0806421018e+00	7.5516621609e-01	6.5375647519e-11	1.7483500770e-02	1.1257418719e+00
8.7671348373e-02	1.0933236681e+00	6.9496916376e-01	6.6315855216e-11	1.7539230727e-02	1.1410785684e+00
1.0521057910e-01	1.1032158504e+00	6.3513829576e-01	6.7078105484e-11	1.7592877394e-02	1.1534530328e+00
1.2280345649e-01	1.1103673404e+00	5.7579828666e-01	6.7665360654e-11	1.7644747458e-02	1.1629116135e+00
1.4044820395e-01	1.1148329932e+00	5.1706915043e-01	6.8080961068e-11	1.7695116470e-02	1.1695075341e+00
1.5814332042e-01	1.1166733289e+00	4.5906609575e-01	6.8328595961e-11	1.7744234774e-02	1.1733003412e+00
1.7588755520e-01	1.1159540647e+00	4.0189939764e-01	6.8412272663e-11	1.7792332660e-02	1.1743553898e+00
1.9367988786e-01	1.1127456697e+00	3.4567428510e-01	6.8336290728e-11	1.7839624768e-02	1.1727433573e+00
2.1151951262e-01	1.1071229413e+00	2.9049084482e-01	6.8105220122e-11	1.7886313769e-02	1.1685397822e+00
2.2940582639e-01	1.0991645981e+00	2.3644394158e-01	6.7723870342e-11	1.7932593991e-02	1.1618246224e+00
2.4733842038e-01	1.0889528881e+00	1.8362315409e-01	6.7197270947e-11	1.7978654550e-02	1.1526818324e+00
2.6531707493e-01	1.0765732097e+00	1.3211272696e-01	6.6530646483e-11	1.8024682420e-02	1.1411989548e+00
2.8334175735e-01	1.0621137443e+00	8.1991538138e-02	6.5729393827e-11	1.8070865448e-02	1.1274667252e+00
3.0141262280e-01	1.0456650989e+00	3.3333081898e-02	6.4799057377e-11	1.8117395558e-02	1.1115786887e+00
3.1953001836e-01	1.0273199579e+00	-1.3794533365e-02	6.3745310515e-11	1.8164471916e-02	1.0936308280e+00
3.3769449028e-01	1.0071727433e+00	-5.9328571983e-02	6.2573930651e-11	1.8212304551e-02	1.0737211988e+00
3.5590679483e-01	9.8531928126e-01	-1.0321164314e-01	6.1290776272e-11	1.8261118456e-02	1.0519495751e+00
3.7416791328e-01	9.6185647566e-01	-1.4539165844e-01	5.9901767349e-11	1.8311158162e-02	1.0284171015e+00
3.9247907145e-01	9.3688198624e-01	-1.8582177452e-01	5.8412859669e-11	1.8362693329e-02	1.0032259511e+00
4.1084176478e-01	9.1049391071e-01	-2.2446032105e-01	5.6830022982e-11	1.8416025387e-02	9.7647898948e-01
