#t	x1	x2	abserr	h	yscale
0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e-03	1.0000000000e+00
1.0000000000e-03	1.0039829940e+00	9.9399303067e-01	1.0781695783e-15	8.8761511855e-03	1.0060000000e+00
9.8761511855e-03	1.0378410509e+00	9.4008986035e-01	6.0004422661e-11	8.9469580005e-03	1.0573633507e+00
1.8823109186e-02	1.0692341409e+00	8.8478558675e-01	6.1349623225e-11	9.0376203754e-03	1.0926795969e+00
2.7860729561e-02	1.0981412667e+00	8.2806451813e-01	6.3261218742e-11	9.1272896443e-03	1.1255471584e+00
3.6988019206e-02	1.1244644376e+00	7.7004390890e-01	6.5011137842e-11	9.2164658384e-03	1.1558145184e+00
4.6204485044e-02	1.1481131045e+00	7.1084506291e-01	6.6594639750e-11	9.3055892290e-03	1.1833794614e+00
5.5510074273e-02	1.1690037705e+00	6.5059328253e-01	6.8005283668e-11	9.3951091967e-03	1.2081472814e+00
6.4905183470e-02	1.1870598112e+00	5.8941744955e-01	6.9236941377e-11	9.4854941581e-03	1.2300307558e+00
7.4390677628e-02	1.2022112725e+00	5.2744960181e-01	7.0283749156e-11	9.5772427366e-03	1.2489499715e+00
8.3967920365e-02	1.2143946346e+00	4.6482450334e-01	7.1140043392e-11	9.6708969819e-03	1.2648321312e+00
9.3638817347e-02	1.2235525281e+00	4.0167920399e-01	7.1800290429e-11	9.7670582382e-03	1.2776113315e+00
1.0340587558e-01	1.2296333834e+00	3.3815258561e-01	7.2258986630e-11	9.8664070544e-03	1.2872282963e+00
1.1327228264e-01	1.2325909921e+00	2.7438488831e-01	7.2510534131e-11	9.9697286197e-03	1.2936300519e+00
1.2324201126e-01	1.2323839506e+00	2.1051720948e-01	7.2549067105e-11	1.0077946275e-02	1.2967695234e+00
1.3331995753e-01	1.2289749461e+00	1.4669096337e-01	7.2368214219e-11	1.0192166679e-02	1.2966050279e+00
1.4351212421e-01	1.2223298284e+00	8.3047283208e-02	7.8726461277e-11	1.0130042754e-02	1.2930996323e+00
1.5364216697e-01	1.2126204922e+00	2.0843759278e-02	7.9013603528e-11	1.0048462288e-02	1.2850823681e+00
1.6369062925e-01	1.2000179867e+00	-3.9681027341e-02	7.8168135655e-11	9.9713355714e-03	1.2737547964e+00
