#t	x1	x2	abserr	h	yscale
0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e-03	1.0000000000e+00
1.0000000000e-03	1.0089403887e+00	9.8896071173e-01	3.1299343648e-14	4.5298695393e-03	1.0110000000e+00
5.5298695393e-03	1.0479309594e+00	9.3799951724e-01	5.9524603309e-11	4.5748647422e-03	1.0591239351e+00
1.0104734282e-02	1.0847577759e+00	8.8503520589e-01	6.3096652448e-11	4.6016221929e-03	1.1001636043e+00
1.4706356474e-02	1.1191592849e+00	8.3036965088e-01	6.5403781289e-11	4.6272006564e-03	1.1387468281e+00
1.9333557131e-02	1.1510321456e+00	7.7412326596e-01	6.7551526384e-11	4.6518495343e-03	1.1747873177e+00
2.3985406665e-02	1.1802817501e+00	7.1642040931e-01	6.9539208833e-11	4.6757186474e-03	1.2081775340e+00
2.8661125313e-02	1.2068214272e+00	6.5738990539e-01	7.1361011639e-11	4.6989431911e-03	1.2388181843e+00
3.3360068504e-02	1.2305723527e+00	5.9716464543e-01	7.3011563060e-11	4.7216471359e-03	1.2666183183e+00
3.8081715640e-02	1.2514634824e+00	5.3588118889e-01	7.4485954866e-11	4.7439458276e-03	1.2914952377e+00
4.2825661467e-02	1.2694314937e+00	4.7367936937e-01	7.5779733498e-11	4.7659482977e-03	1.3133744234e+00
4.7591609765e-02	1.2844207316e+00	4.1070190390e-01	7.6888892118e-11	4.7877593716e-03	1.3321894738e+00
5.2379369136e-02	1.2963831520e+00	3.4709400527e-01	7.7809862278e-11	4.8094816596e-03	1.3478820475e+00
5.7188850796e-02	1.3052782570e+00	2.8300299713e-01	7.8539516517e-11	4.8312173643e-03	1.3604018042e+00
6.2020068160e-02	1.3110730181e+00	2.1857793371e-01	7.9075136137e-11	4.8530703877e-03	1.3697063358e+00
6.6873138548e-02	1.3137417827e+00	1.5396922089e-01	7.9414422523e-11	4.8751482590e-03	1.3757610886e+00
7.1748286807e-02	1.3132661582e+00	8.9328243004e-02	7.9555471274e-11	4.8975643915e-03	1.3785392651e+00
7.6645851199e-02	1.3096348700e+00	2.4806994142e-02	7.9496746895e-11	4.9204407240e-03	1.3780217047e+00
8.1566291923e-02	1.3028435876e+00	-3.9442286276e-02	7.9237074097e-11	4.9439106168e-03	1.3741967388e+00
8.6510202539e-02	1.2928947106e+00	-1.0326747023e-01	7.8775594053e-11	4.9681225289e-03	1.3670600109e+00
9.1478325068e-02	1.2797971085e+00	-1.6651689132e-01	7.8111731419e-11	4.9932444773e-03	1.3566142586e+00
9.6471569545e-02	1.2635658015e+00	-2.2903968647e-01	7.7245148730e-11	5.0194696167e-03	1.3428690473e+00
1.0149103916e-01	1.2442215707e+00	-2.9068612704e-01	7.6175668523e-11	5.0470236169e-03	1.3258404452e+00
1.0653806278e-01	1.2217904762e+00	-3.5130794031e-01	7.4903208329e-11	5.0761740654e-03	1.3055506274e+00
1.1161423684e-01	1.1963032596e+00	-4.1075861662e-01	7.3427649727e-11	5.1072433360e-03	1.2820273872e+00
1.1672148018e-01	1.1677945932e+00	-4.6889370370e-01	7.2549506535e-11	5.1292269750e-03	1.2553035339e+00
1.2185070716e-01	1.1363749792e+00	-5.2544754401e-01	7.7364356029e-11	5.0609716679e-03	1.2252883663e+00
1.2691167882e-01	1.1027434661e+00	-5.7932246322e-01	7.5208268970e-11	4.9936974437e-03	1.1912273198e+00
