#t	x1	x2	abserr	h	yscale
1.4264930081e+00	2.3671642557e-01	-2.4353447948e-01	1.6564520965e-11	3.0778311193e-02	2.6890828511e-01
1.4572713193e+00	2.2133304277e-01	-2.4386336183e-01	1.5551296318e-11	3.0679180963e-02	2.5914863351e-01
1.4879505003e+00	2.0646104366e-01	-2.4367346871e-01	1.4971636251e-11	3.0809250294e-02	2.5896648742e-01
1.5187597505e+00	1.9199293801e-01	-2.4299402068e-01	1.4945644348e-11	3.0936495993e-02	2.5837593078e-01
1.5496962465e+00	1.7793771611e-01	-2.4184980050e-01	1.4892008096e-11	3.1060346534e-02	2.5728625782e-01
1.5807565931e+00	1.6430341570e-01	-2.4026562541e-01	1.4809789141e-11	3.1181216831e-02	2.5572320608e-01
1.6119378099e+00	1.5109668630e-01	-2.3826625032e-01	1.4700560368e-11	3.1299495312e-02	2.5371299980e-01
1.6432373052e+00	1.3832285377e-01	-2.3587627928e-01	1.4565896752e-11	3.1415543971e-02	2.5128173744e-01
1.6746528492e+00	1.2598598552e-01	-2.3312008668e-01	1.4407355983e-11	3.1529703733e-02	2.4845530211e-01
1.7061825529e+00	1.1408895406e-01	-2.3002174705e-01	1.4226477215e-11	3.1642297994e-02	2.4525928444e-01
1.7378248509e+00	1.0263349927e-01	-2.2660497262e-01	1.4024775849e-11	3.1753636328e-02	2.4171891336e-01
1.7695784872e+00	9.1620289414e-02	-2.2289305800e-01	1.3803740344e-11	3.1864017768e-02	2.3785899487e-01
1.8014425050e+00	8.1048980879e-02	-2.1890883118e-01	1.3564828569e-11	3.1973734132e-02	2.3370385782e-01
1.8334162391e+00	7.0918276623e-02	-2.1467461041e-01	1.3309465700e-11	3.2083072940e-02	2.2927730615e-01
1.8654993121e+00	6.1225983413e-02	-2.1021216638e-01	1.3039041184e-11	3.2192320559e-02	2.2460257686e-01
1.8976916326e+00	5.1969067765e-02	-2.0554268923e-01	1.2754906784e-11	3.2301765297e-02	2.1970230336e-01
1.9299933979e+00	4.3143710612e-02	-2.0068676003e-01	1.2458375684e-11	3.2411700109e-02	2.1459848375e-01
1.9624050980e+00	3.4745360817e-02	-1.9566432639e-01	1.2150718980e-11	3.2522426409e-02	2.0931245335e-01
1.9949275245e+00	2.6768787254e-02	-1.9049468172e-01	1.1833166162e-11	3.2634257189e-02	2.0386486167e-01
2.0275617816e+00	1.9208129723e-02	-1.8519644792e-01	1.1506902730e-11	3.2747521097e-02	1.9827565280e-01
2.0603093027e+00	1.2056948507e-02	-1.7978756130e-01	1.1173069771e-11	3.2862566649e-02	1.9256404943e-01
2.0931718694e+00	5.3082726831e-03	-1.7428526117e-01	1.0832762963e-11	3.2979767095e-02	1.8674853992e-01
2.1261516365e+00	-1.0453528505e-03	-1.6870608116e-01	1.0487031251e-11	3.3099526401e-02	1.8084686823e-01
2.1592511629e+00	-7.0118216702e-03	-1.6306584275e-01	1.0136877749e-11	3.3222285248e-02	1.7487602646e-01
2.1924734481e+00	-1.2599421240e-02	-1.5737965097e-01	9.7832576107e-12	3.3348529192e-02	1.6885224950e-01
2.2258219773e+00	-1.7816789598e-02	-1.5166189180e-01	9.4270779584e-12	3.3491287582e-02	1.6309488881e-01
2.2593132649e+00	-2.2674615047e-02	-1.4592409403e-01	9.0862760934e-12	3.3643444996e-02	1.5740425186e-01
2.2929567099e+00	-2.7182316569e-02	-1.4017841894e-01	8.7491908531e-12	3.3801477439e-02	1.5168109677e-01
2.3267581873e+00	-3.1348868592e-02	-1.3443707092e-01	8.4104225537e-12	3.3966284178e-02	1.4593754823e-01
2.3607244715e+00	-3.5183459924e-02	-1.2871155651e-01	8.0707371046e-12	3.4138871104e-02	1.4018651487e-01
2.3948633426e+00	-3.8695450580e-02	-1.2301268765e-01	7.7308165186e-12	3.4320406702e-02	1.3444020553e-01
2.4291837493e+00	-4.1894332677e-02	-1.1735058026e-01	7.6008061676e-12	3.4319863684e-02	1.2871013712e-01
2.4635036130e+00	-4.4774417807e-02	-1.1176572571e-01	7.6107099696e-12	3.3999052924e-02	1.2297560039e-01
2.4975026659e+00	-4.7326877169e-02	-1.0631809198e-01	7.2522602388e-12	3.3685459198e-02	1.1725708542e-01
2.5311881251e+00	-4.9573747759e-02	-1.0101208386e-01	6.8980844519e-12	3.3383143449e-02	1.1167082972e-01
2.5645712686e+00	-5.1536092630e-02	-9.5850419486e-02	6.5547552857e-12	3.3090410022e-02	1.0622299311e-01
2.5976616786e+00	-5.3233621639e-02	-9.0835176068e-02	6.2221698169e-12	3.2805687053e-02	1.0091698299e-01
2.6304673657e+00	-5.4684815625e-02	-8.5967857286e-02	5.9001462864e-12	3.2527585727e-02	9.5755492574e-02
2.6629949514e+00	-5.5907037283e-02	-8.1249440555e-02	5.5885256600e-12	3.2254863563e-02	9.0740589720e-02
2.6952498149e+00	-5.6916625020e-02	-7.6680421289e-02	5.2871633314e-12	3.1986393592e-02	8.5873767796e-02
2.7272362085e+00	-5.7728973309e-02	-7.2260854530e-02	4.9959221748e-12	3.1721138991e-02	8.1155993170e-02
2.7589573475e+00	-5.8358602285e-02	-6.7990394051e-02	4.7146674517e-12	3.1458132057e-02	7.6587749791e-02
2.7904154796e+00	-5.8819218710e-02	-6.3868329049e-02	4.4432630784e-12	3.1196456745e-02	7.2169081088e-02
2.8216119363e+00	-5.9123769948e-02	-5.9893618482e-02	4.1815703492e-12	3.0935232098e-02	6.7899629294e-02
2.8525471684e+00	-5.9284492227e-02	-5.6064923379e-02	3.9294451121e-12	3.0673599118e-02	6.3778672077e-02
2.8832207675e+00	-5.9312954240e-02	-5.2380637010e-02	3.6867382649e-12	3.0731303296e-02	6.3024726043e-02
2.9139520708e+00	-5.9218502151e-02	-4.8802166590e-02	3.6398653743e-12	3.0860486937e-02	6.2947973246e-02
2.9448125578e+00	-5.9007376533e-02	-4.5322818644e-02	3.6309914753e-12	3.0986325874e-02	6.2755129456e-02
2.9757988837e+00	-5.8685611231e-02	-4.1944721550e-02	3.6151238403e-12	3.1108938185e-02	6.2443343937e-02
3.0069078218e+00	-5.8259239419e-02	-3.8669693749e-02	3.5924560462e-12	3.1228728774e-02	6.2018963706e-02
3.0381365506e+00	-5.7734270211e-02	-3.5499222186e-02	3.5633718685e-12	3.1346074765e-02	6.1488358115e-02
3.0694826254e+00	-5.7116668116e-02	-3.2434478240e-02	3.5282525793e-12	3.1461329541e-02	6.0857856762e-02
3.1009439549e+00	-5.6412334715e-02	-2.9476333367e-02	3.4874756804e-12	3.1574826373e-02	6.0133729167e-02
3.1325187813e+00	-5.5627092376e-02	-2.6625374484e-02	3.4414132451e-12	3.1686882711e-02	5.9322166683e-02
3.1642056640e+00	-5.4766669776e-02	-2.3881918972e-02	3.3904313072e-12	3.1797803614e-02	5.8429266552e-02
3.1960034676e+00	-5.3836689069e-02	-2.1246029386e-02	3.3348891170e-12	3.1907884786e-02	5.7461017690e-02
3.2279113524e+00	-5.2842654565e-02	-1.8717527872e-02	3.2751380875e-12	3.2017416077e-02	5.6423288118e-02
3.2599287685e+00	-5.1789942758e-02	-1.6296010255e-02	3.2115215560e-12	3.2126684133e-02	5.5321813951e-02
3.2920554526e+00	-5.0683793618e-02	-1.3980859844e-02	3.1443738767e-12	3.2235975694e-02	5.4162189679e-02
3.3242914283e+00	-4.9529303012e-02	-1.1771260916e-02	3.0740201140e-12	3.2345580590e-02	5.2949859764e-02
3.3566370089e+00	-4.8331416173e-02	-9.6662118969e-03	3.0007756997e-12	3.2455794665e-02	5.1690111349e-02
3.3890928036e+00	-4.7094922136e-02	-7.6645382439e-03	2.9249457190e-12	3.2566923629e-02	5.0388068005e-02
3.4216597272e+00	-4.5824449029e-02	-5.7649049914e-03	2.8468251100e-12	3.2679286089e-02	4.9048684492e-02
3.4543390133e+00	-4.4524460199e-02	-3.9658290175e-03	2.7666977994e-12	3.2793218257e-02	4.7676742320e-02
3.4871322315e+00	-4.3199251031e-02	-2.2656909595e-03	2.6848370645e-12	3.2909077831e-02	4.6276846208e-02
3.5200413094e+00	-4.1852946467e-02	-6.6274685327e-04	2.6015048837e-12	3.3027249554e-02	4.4853421180e-02
3.5530685589e+00	-4.0489499109e-02	8.4486055903e-04	2.5169519457e-12	3.3148151206e-02	4.3410710403e-02
3.5862167101e+00	-3.9112687862e-02	2.2590908236e-03	2.4314175826e-12	3.3272240436e-02	4.1952773587e-02
3.6194889506e+00	-3.7726117057e-02	3.5819950571e-03	2.3451295311e-12	3.3402347031e-02	4.0497571298e-02
3.6528912976e+00	-3.6333119130e-02	4.8157881424e-03	2.2590962351e-12	3.3551391583e-02	3.9119199068e-02
3.6864426892e+00	-3.4936338959e-02	5.9631368432e-03	2.1774556225e-12	3.3705781571e-02	3.7731675164e-02
3.7201484708e+00	-3.3538848708e-02	7.0261864029e-03	2.0952731447e-12	3.3866406922e-02	3.6337220222e-02
3.7540148777e+00	-3.2143548564e-02	8.0071422789e-03	2.0127622574e-12	3.4034190720e-02	3.4939079770e-02
3.7880490684e+00	-3.0753169935e-02	8.9082573010e-03	1.9300959426e-12	3.4210199750e-02	3.3540324457e-02
3.8222592681e+00	-2.9370275152e-02	9.7318221448e-03	1.8474352377e-12	3.4395677767e-02	3.2143856757e-02
3.8566549459e+00	-2.7997257063e-02	1.0480155820e-02	1.8708080482e-12	3.4191359447e-02	3.0752410804e-02
3.8908463054e+00	-2.6651980871e-02	1.1148201555e-02	1.8164401420e-12	3.3872259853e-02	2.9352666648e-02
3.9247185652e+00	-2.5340588921e-02	1.1738712541e-02	1.7292762212e-12	3.3563380942e-02	2.7974315670e-02
3.9582819462e+00	-2.4063929896e-02	1.2256981907e-02	1.6441819477e-12	3.3265096821e-02	2.6628872405e-02
