#t	x1	x2	abserr	h	yscale
0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e-03	1.0000000000e+00
1.0000000000e-03	1.0023249453e+00	9.9566495434e-01	1.2769109161e-16	1.3595211394e-02	1.0043333333e+00
1.4595211394e-02	1.0322715966e+00	9.3641783160e-01	6.1141038261e-11	1.3662438875e-02	1.0612839526e+00
2.8257650269e-02	1.0592609988e+00	8.7639613513e-01	5.9677320247e-11	1.3875846651e-02	1.0920765066e+00
4.2133496920e-02	1.0835100798e+00	8.1509356503e-01	6.1210223439e-11	1.4093310926e-02	1.1204155477e+00
5.6226807847e-02	1.1049097554e+00	7.5263007266e-01	6.2512548223e-11	1.4318295281e-02	1.1458982617e+00
7.0545103128e-02	1.1233588831e+00	6.8912028260e-01	6.8707418192e-11	1.4330223374e-02	1.1684208822e+00
8.4875326501e-02	1.1385493728e+00	6.2566424050e-01	7.0938872049e-11	1.4295554522e-02	1.1868940764e+00
9.9170881023e-02	1.1504946613e+00	5.6261984844e-01	7.1785557909e-11	1.4262601573e-02	1.2017475722e+00
1.1343348260e-01	1.1592798874e+00	5.0012374233e-01	7.2417608741e-11	1.4231806914e-02	1.2132159072e+00
1.2766528951e-01	1.1649937972e+00	4.3830376541e-01	7.2860455544e-11	1.4202842282e-02	1.2213930437e+00
1.4186813179e-01	1.1677278552e+00	3.7728246957e-01	7.3119176221e-11	1.4175423230e-02	1.2263730337e+00
1.5604355502e-01	1.1675762514e+00	3.1717697459e-01	7.3198836150e-11	1.4149309940e-02	1.2282527825e+00
1.7019286496e-01	1.1646358470e+00	2.5809880490e-01	7.3104787719e-11	1.4124297850e-02	1.2271320809e+00
1.8431716281e-01	1.1590060656e+00	2.0015375656e-01	7.2842650419e-11	1.4100210052e-02	1.2231135233e+00
1.9841737286e-01	1.1507887443e+00	1.4344179227e-01	7.2418276509e-11	1.4076891579e-02	1.2163023722e+00
2.1249426444e-01	1.1400879532e+00	8.8056959849e-02	7.1837728914e-11	1.4054204749e-02	1.2068063868e+00
2.2654846919e-01	1.1270097941e+00	3.4087332428e-02	7.1107254743e-11	1.4032025520e-02	1.1947356222e+00
2.4058049471e-01	1.1116621816e+00	-1.8385032220e-02	7.0233265988e-11	1.4010240390e-02	1.1802022091e+00
2.5459073510e-01	1.0941546137e+00	-6.9284114296e-02	6.9222316176e-11	1.3988743884e-02	1.1633201175e+00
2.6857947899e-01	1.0745979343e+00	-1.1853993828e-01	6.8081080477e-11	1.3967436381e-02	1.1442049115e+00
2.8254691537e-01	1.0531040918e+00	-1.6608856402e-01	6.6816339426e-11	1.3946222087e-02	1.1229734962e+00
2.9649313745e-01	1.0297858949e+00	-2.1187206326e-01	6.5434955261e-11	1.3925007370e-02	1.0997438623e+00
3.1041814482e-01	1.0047567701e+00	-2.5583848327e-01	6.3943859322e-11	1.3903698981e-02	1.0746348288e+00
3.2432184380e-01	9.7813051979e-01	-2.9794179777e-01	6.2350031512e-11	1.3882202440e-02	1.0477657878e+00
3.3820404625e-01	9.5002108568e-01	-3.3814184647e-01	6.0660483884e-11	1.3860420381e-02	1.0192564511e+00
3.5206446663e-01	9.2054231652e-01	-3.7640426419e-01	5.8882247109e-11	1.3838250700e-02	9.8922660294e-01
3.6590271733e-01	8.8980774297e-01	-4.1270040006e-01	5.7022352066e-11	1.3815584680e-02	9.5779585780e-01
3.7971830201e-01	8.5793036029e-01	-4.4700722830e-01	5.5087819440e-11	1.3792304675e-02	9.2508342639e-01
3.9351060668e-01	8.2502242052e-01	-4.7930725100e-01	5.3085642088e-11	1.3768281643e-02	8.9120789013e-01
4.0727888832e-01	7.9119523520e-01	-5.0958839466e-01	5.1022774659e-11	1.3750080953e-02	8.5837901898e-01
4.2102896928e-01	7.5654188674e-01	-5.3785721161e-01	4.9026241703e-11	1.3734034917e-02	8.2543050600e-01
4.3476300419e-01	7.2116188300e-01	-5.6411513911e-01	4.7027155024e-11	1.3717254027e-02	7.9155542517e-01
